Team	G	Pts/G	Yds/G	PasY/G	RusY/G	1stD/G	3rdM	3rdD%	4thM	4thD%	PEN	PYds	ToP/G
LA Rams	16	29.9	373.5	251.4	122.1	19.4	88	41.1	5	41.7	107	922	30:06
New England	16	28.6	406.8	288.7	118.1	24.3	82	40.6	8	61.5	95	835	30:37
Philadelphia	16	28.6	380.1	247.9	132.2	21.1	96	41.7	17	65.4	116	962	32:41
New Orleans	16	28.0	400.3	270.9	129.4	20.8	73	37.6	12	80.0	105	962	31:28
Jacksonville	16	26.1	373.6	232.3	141.4	20.8	85	37.4	10	76.9	112	936	32:12
Kansas City	16	25.9	389.3	270.4	118.9	20.1	78	39.2	3	30.0	118	1,044	30:55
Detroit	16	25.6	355.7	279.4	76.3	18.5	81	38.8	1	11.1	104	968	29:48
Pittsburgh	16	25.4	387.6	283.4	104.2	21.8	92	44.0	3	37.5	101	896	31:59
Baltimore	16	24.7	318.2	202.2	116.0	19.4	76	34.1	10	62.5	91	749	30:53
Minnesota	16	23.9	367.9	245.6	122.3	20.9	94	43.5	1	14.3	100	949	32:26
Seattle	16	22.9	350.5	248.7	101.8	18.6	79	37.3	5	55.6	148	1,342	29:19
Carolina	16	22.7	338.8	207.4	131.4	20.0	93	41.9	5	45.5	83	682	32:17
LA Chargers	16	22.2	384.1	284.4	99.7	21.1	84	40.2	5	45.5	108	927	30:15
Dallas	16	22.1	343.5	207.9	135.6	19.6	87	42.9	10	52.6	97	939	30:12
Atlanta	16	22.1	374.6	259.1	115.4	20.6	88	44.7	4	30.8	102	918	29:51
Washington	16	21.4	346.3	255.8	90.5	17.4	66	32.4	9	56.3	92	732	29:45
Houston	16	21.1	342.9	227.8	115.1	19.6	76	36.4	5	50.0	124	1,050	30:20
Tennessee	16	20.9	326.7	212.1	114.6	18.1	71	35.1	5	50.0	85	785	30:00
Tampa Bay	16	20.9	378.6	287.9	90.6	22.0	85	43.4	4	50.0	104	795	29:43
San Francisco	16	20.7	368.6	264.7	103.9	20.1	91	38.9	8	44.4	123	988	29:16
Green Bay	16	20.0	328.5	220.8	107.8	19.2	84	39.8	15	53.6	96	789	29:09
Buffalo	16	18.9	318.9	192.9	126.1	17.4	101	41.9	2	13.3	98	872	28:20
Oakland	16	18.8	332.2	235.1	97.1	17.9	82	40.2	8	33.3	114	1,009	28:48
NY Jets	16	18.6	325.2	218.8	106.4	16.8	81	35.5	7	53.8	119	1,035	30:13
Arizona	16	18.4	335.3	248.7	86.6	19.4	82	35.2	7	43.8	110	880	31:10
Cincinnati	16	18.1	297.0	211.6	85.4	16.7	67	33.7	5	41.7	110	1,027	27:18
Denver	16	18.1	345.0	229.3	115.8	18.6	94	39.0	7	35.0	113	885	31:26
Miami	16	17.6	323.8	237.0	86.8	17.8	64	31.7	7	29.2	137	1,154	29:25
Chicago	16	16.5	304.6	192.8	111.8	16.7	71	34.6	7	38.9	115	943	28:58
Indianapolis	16	16.4	305.4	201.6	103.8	16.7	87	38.2	8	47.1	92	779	29:41
NY Giants	16	15.4	326.8	230.0	96.8	16.9	74	32.6	8	38.1	91	895	28:46
Cleveland	16	14.6	328.2	221.1	107.1	18.1	73	33.8	12	52.2	110	924	28:06
